"","species","pu","amount"
"1",26,56,120.344883789
"2",26,58,45.167009619
"3",26,84,68.047374561
"4",26,85,9.735624268
"5",26,86,7.803476367
"6",26,111,478.32741748
"7",26,112,34.30779541
"8",26,113,151.423403467
"9",26,139,57.339441699
"10",26,140,151.443190967
"11",10,141,87.267339258
"12",26,141,47.717299463
"13",26,166,56.98042417
"14",26,167,613.055704785
"15",10,168,1101.215673047
"16",26,168,112.729646484
"17",10,170,1482.068724023
"18",26,170,8.597658789
"19",26,194,359.067938086
"20",26,195,284.466835107
"21",10,196,2522.836633594
"22",26,196,50.774081348
"23",10,197,517.411858057
"24",26,197,10.578300684
"25",10,198,4.386967676
"26",26,198,2.031728467
"27",26,221,442.849065869
"28",26,222,498.993725586
"29",10,223,1338.753108398
"30",26,223,58.476916016
"31",10,224,2560.079927393
"32",26,224,148.051208398
"33",10,225,1885.83516416
"34",26,225,55.774072217
"35",26,248,1.967013672
"36",26,249,59.513970117
"37",26,250,80.917047998
"38",26,251,76.098802588
"39",10,252,4113.072341553
"40",26,252,157.912276758
"41",10,253,758.103830957
"42",26,253,0.031383105
"43",26,275,0.171173828
"44",26,276,166.997043945
"45",26,277,256.060492041
"46",26,278,115.405205078
"47",10,279,1403.823577832
"48",26,279,526.438298438
"49",10,280,3854.011107373
"50",26,280,266.075758643
"51",10,281,1535.339507471
"52",26,281,35.801365918
"53",26,303,252.067107275
"54",26,304,152.336215869
"55",26,305,94.327702637
"56",26,306,249.435323584
"57",10,307,434.653493555
"58",26,307,245.382782422
"59",10,308,4148.953336377
"60",26,308,42.812816797
"61",10,309,2950.52057666
"62",26,309,275.657937891
"63",26,331,450.86967959
"64",26,332,217.081543799
"65",26,333,118.177648047
"66",26,334,150.728253662
"67",10,335,428.727079248
"68",26,335,23.256836768
"69",10,336,4156.921938135
"70",26,336,118.563218994
"71",10,337,1546.034495898
"72",26,337,233.269728662
"73",26,358,325.566625439
"74",26,359,289.33172627
"75",26,360,153.391578516
"76",26,361,315.443527979
"77",26,362,214.532471338
"78",10,363,1394.776787646
"79",26,363,135.618834375
"80",10,364,4156.921938184
"81",26,364,317.125889502
"82",10,365,1954.349699463
"83",26,365,57.301839502
"84",11,382,0.595052246
